"Remove","Transaction Id","Organization","Item Code","Item Description","Subinventory Name","Locator Name","Lot Number","Lot Expiry","System OnHand","Unit of Measure","Physical Onhand","Adjustment Item Cost"
"","612352","KDH KCH Dubai Hospital Inventory Organization","MC10067","BD MICROLANCE 25G X 25MM REGULAR ORANGE[BECT[300400[BX/100[","DHHMainWHS Main General Warehouse","0.0.0","211112","31-10-2026","232","EA","0","0.09000"
"","597802","KDH KCH Dubai Hospital Inventory Organization","MC10067","BD MICROLANCE 25G X 25MM REGULAR ORANGE[BECT[300400[BX/100[","DHHMainWHS Main General Warehouse","0.0.0","2307109","30-06-2028","68","EA","500","0.09000"
"","600321","KDH KCH Dubai Hospital Inventory Organization","MC10069","INFUSOMAT SPACE LINE IV-STANDARD PVC 250 CM (100'S BOX)[BRAU[8700036SP[PC/1[","DHHMainWHS Main General Warehouse","0.0.0","24N06E8ST2","01-12-2029","80","EA","0","15.99946"
"","602747","KDH KCH Dubai Hospital Inventory Organization","MC10069","INFUSOMAT SPACE LINE IV-STANDARD PVC 250 CM (100'S BOX)[BRAU[8700036SP[PC/1[","DHHMainWHS Main General Warehouse","0.0.0","24N05E8ST6","01-12-2029","20","EA","100","15.99946"
"","597790","KDH KCH Dubai Hospital Inventory Organization","MC10071","BRAUN THERMOSCAN PC800 PROBE COVER F/PRO 6000 SERIES 800'S[WLCH[06000-800/901010[PC/1[","DHHMainWHS Main General Warehouse","0.0.0","15062025","31-08-2028","1400","EA","1200","0.26000"
"","609943","KDH KCH Dubai Hospital Inventory Organization","MC10072","THERMOMETER PROBE COVER (25'S X10 PACK)[WLCH[05031[PC/1[","DHHMainWHS Main General Warehouse","0.0.0","NOLOT02042025","01-01-3000","250","EA","500","0.14000"
"","595362","KDH KCH Dubai Hospital Inventory Organization","MC10073","MEDICINE CUP DISPOSABLE 30ML (100'S BOX)[4MED[NO REF#[PC/1[","DHHMainWHS Main General Warehouse","0.0.0","02012025","01-01-2030","4250","EA","5100","0.06000"
"","605085","KDH KCH Dubai Hospital Inventory Organization","MC10077","BD MICROTAINER CONTACT-ACTIVATED LANCET PINK 21G X 1.8 MM[BECT[366593[BX/200[","DHHMainWHS Main General Warehouse","0.0.0","E4H28H2","31-07-2029","400","EA","400","0.98000"
"","595336","KDH KCH Dubai Hospital Inventory Organization","MC10078","BD MICROTAINER CONTACT-ACTIVATED LANCET PURPLE 30G X 1.5 MM[BECT[366592[BX/200[","DHHMainWHS Main General Warehouse","0.0.0","C9H68H8","12-10-2027","200","EA","200","0.98000"
"","612311","KDH KCH Dubai Hospital Inventory Organization","MC10080","UNIVERSAL KLEENSPEC SPECULA 2.75MM PAEDIATRIC SINGE-USE[WLCH[52432-U[PK/850[","DHHMainWHS Main General Warehouse","0.0.0","15062025","31-05-2029","814","EA","1165","0.16000"
"","609920","KDH KCH Dubai Hospital Inventory Organization","MC10080","UNIVERSAL KLEENSPEC SPECULA 2.75MM PAEDIATRIC SINGE-USE[WLCH[52432-U[PK/850[","DHHMainWHS Main General Warehouse","0.0.0","KCH28052024","31-12-2029","175","EA","0","0.16000"
"","602736","KDH KCH Dubai Hospital Inventory Organization","MC10081","UNIVERSAL KLEENSPEC SPECULA 4.25MM ADULT SINGLE-USE[WLCH[52434-U[PK/850[","DHHMainWHS Main General Warehouse","0.0.0","10022025","31-05-2028","1130","EA","1660","0.16000"
"","602737","KDH KCH Dubai Hospital Inventory Organization","MC10081","UNIVERSAL KLEENSPEC SPECULA 4.25MM ADULT SINGLE-USE[WLCH[52434-U[PK/850[","DHHMainWHS Main General Warehouse","0.0.0","16062025","31-10-2027","530","EA","0","0.16000"
"","597796","KDH KCH Dubai Hospital Inventory Organization","MC10083","UPP-110HG THERMAL PAPER 10'S[SONY[GS1-128[PC/1[","DHHMainWHS Main General Warehouse","0.0.0","09052025","09-05-2030","9","EA","9","43.00000"
"","612345","KDH KCH Dubai Hospital Inventory Organization","MC10084","UPC-21L COLOR PRINTING PACK 4'S[SONY[GS1-128[PC/1[","DHHMainWHS Main General Warehouse","0.0.0","1FCF952SB","10-06-2030","4","EA","4","103.75000"
"","607545","KDH KCH Dubai Hospital Inventory Organization","MC10085","TRANSPORE WHITE SURGICAL TAPE 2.5CM X 9.14M (1 INCH)[3M[1527-1[BX/12[","DHHMainWHS Main General Warehouse","0.0.0","SA20250026","05-03-2026","16","EA","16","3.49211"
"","597767","KDH KCH Dubai Hospital Inventory Organization","MC10087","DISPOSABLE MEASURING TAPE PAPER 36 INCH (125 BUNDLE PACK)[BUSE[795[PC/1[","DHHMainWHS Main General Warehouse","0.0.0","","","850","EA","875","0.35000"
"","597781","KDH KCH Dubai Hospital Inventory Organization","MC10093","FACE MASK SURGICAL DISPOSABLE 50'S[SUPR[NO REF#[PC/1[","DHHMainWHS Main General Warehouse","0.0.0","20240126","31-01-2027","3550","EA","3550","0.05785"
"","597780","KDH KCH Dubai Hospital Inventory Organization","MC10098","BD MICROTAINER QUICKHEEL LANCET 0.85 X 1.75MM PREEMIE[BECT[368102[BX/50[","DHHMainWHS Main General Warehouse","0.0.0","4192022","30-06-2029","80","EA","80","7.12000"
"","602701","KDH KCH Dubai Hospital Inventory Organization","MC10099","BD MICROTAINER QUICKHEEL LANCET 1 X 2.5MM[BECT[368103[BX/50[","DHHMainWHS Main General Warehouse","0.0.0","4306703","31-10-2029","80","EA","80","7.10000"
"","600303","KDH KCH Dubai Hospital Inventory Organization","MC10100","STERI-STRIP REINFORCED ADHESIVE SKIN CLOSURES 12MM X 100MM[3M[R1547[BX/50[","DHHMainWHS Main General Warehouse","0.0.0","34363F","26-09-2029","45","EA","45","3.80000"
"","597762","KDH KCH Dubai Hospital Inventory Organization","MC10101","VASOFIX SAFETY IV CANNULA 20G X 33MM (200'S BOX)[BRAU[4268113S-01[PC/1[","DHHMainWHS Main General Warehouse","0.0.0","24F20G8332","01-06-2029","145","EA","0","3.25000"
"","605087","KDH KCH Dubai Hospital Inventory Organization","MC10101","VASOFIX SAFETY IV CANNULA 20G X 33MM (200'S BOX)[BRAU[4268113S-01[PC/1[","DHHMainWHS Main General Warehouse","0.0.0","24K16G8330","01-09-2029","40","EA","185","3.25000"
"","600279","KDH KCH Dubai Hospital Inventory Organization","MC10103","VASOFIX SAFETY IV CANNULA 18G X 45MM (200'S BOX)[BRAU[4268130S-01[PC/1[","DHHMainWHS Main General Warehouse","0.0.0","21K01G8251","01-09-2026","178","EA","175","3.25000"
"","612313","KDH KCH Dubai Hospital Inventory Organization","MC10104","VASOFIX SAFETY IV CANNULA 24G X 19MM (200'S BOX)[BRAU[4269071S-01[PC/1[","DHHMainWHS Main General Warehouse","0.0.0","24M27G8346","01-11-2029","192","EA","187","3.25000"
"","609922","KDH KCH Dubai Hospital Inventory Organization","MC10105","VASOFIX SAFETY IV CANNULA 22G X 25MM (200'S BOX)[BRAU[4268091S-01[PC/1[","DHHMainWHS Main General Warehouse","0.0.0","24C04G8252","31-03-2029","155","EA","0","3.25000"
"","595340","KDH KCH Dubai Hospital Inventory Organization","MC10105","VASOFIX SAFETY IV CANNULA 22G X 25MM (200'S BOX)[BRAU[4268091S-01[PC/1[","DHHMainWHS Main General Warehouse","0.0.0","24H27G8331","01-08-2029","75","EA","236","3.25000"
"","595371","KDH KCH Dubai Hospital Inventory Organization","MC10114","BRAND ADHESIVE BANDAGE SPOT 100'S PACK[4MED[NO REF#[PC/1[","DHHMainWHS Main General Warehouse","0.0.0","2024-05-20","19-05-2029","3800","EA","0","0.03488"
"","602731","KDH KCH Dubai Hospital Inventory Organization","MC10114","BRAND ADHESIVE BANDAGE SPOT 100'S PACK[4MED[NO REF#[PC/1[","DHHMainWHS Main General Warehouse","0.0.0","SH2405009","19-05-2029","400","EA","4200","0.03488"
"","605107","KDH KCH Dubai Hospital Inventory Organization","MC10115","TEGADERM IV ADVANCED SECUREMENT DRESSING 8X7 CM (100'S BOX)[3M[1681[PC/1[","DHHMainWHS Main General Warehouse","0.0.0","107882789","28-01-2028","210","EA","210","2.95000"
"","600280","KDH KCH Dubai Hospital Inventory Organization","MC10116","TEGADERM IV TRANSPARENT FILM DRESSING PAEDIATRIC 5 X 5.7 CM[3M[1610[BX/100[","DHHMainWHS Main General Warehouse","0.0.0","6310573","29-07-2027","380","EA","546","4.05000"
"","602704","KDH KCH Dubai Hospital Inventory Organization","MC10116","TEGADERM IV TRANSPARENT FILM DRESSING PAEDIATRIC 5 X 5.7 CM[3M[1610[BX/100[","DHHMainWHS Main General Warehouse","0.0.0","33YF9E","29-07-2027","165","EA","0","4.05000"
"","607546","KDH KCH Dubai Hospital Inventory Organization","MC10120","SAFEFLOW SMALLBORE EXTENSION SET 10CM W/ VALVE (100'S BOX)[BRAU[4097154N[PC/1[","DHHMainWHS Main General Warehouse","0.0.0","24H10K8411","01-08-2029","80","EA","80","9.00000"
"","602722","KDH KCH Dubai Hospital Inventory Organization","MC10127","MICROTECH DISPOSABLE TOURNIQUET 25'S[SAFE[700125[PC/1[","DHHMainWHS Main General Warehouse","0.0.0","0325SF","01-03-2028","1525","EA","1650","0.32000"
"","595360","KDH KCH Dubai Hospital Inventory Organization","MC10129","HIGH CONCENTRATION OXYGEN MASK W/ TUBE 2.1M PAEDIATRIC (40'S BOX)[INTR[1192000[PC/1[","DHHMainWHS Main General Warehouse","0.0.0","32313830","31-07-2026","10","EA","20","7.70000"
"","607548","KDH KCH Dubai Hospital Inventory Organization","MC10134","Nebulizer T-piece CONS[INTR[2605000[BX/20[","DHHMainWHS Main General Warehouse","0.0.0","32407192","31-03-2027","8","EA","8","17.00000"
"","602711","KDH KCH Dubai Hospital Inventory Organization","MC10137","MEDIUM CONCENTRATION OXYGEN MASK W/ NOSE CLIP & TUBE ADULT 1.8M 50'S[INTR[1115000/1135015[PC/1[","DHHMainWHS Main General Warehouse","0.0.0","7241757","31-07-2027","2","EA","17","4.30000"
"","607552","KDH KCH Dubai Hospital Inventory Organization","MC10160","NITRILE EXAMINATION GLOVES 100'S - SMALL","DHHMainWHS Main General Warehouse","0.0.0","ZIM502013939","31-01-2028","7000","EA","7000","0.07300"
"","597775","KDH KCH Dubai Hospital Inventory Organization","MC10161","NITRILE EXAMINATION GLOVES 100'S - MEDIUM","DHHMainWHS Main General Warehouse","0.0.0","ZIM501013874","31-12-2027","5000","EA","5000","0.07300"
"","595351","KDH KCH Dubai Hospital Inventory Organization","MC10162","NITRILE EXAMINATION GLOVES 100'S - LARGE","DHHMainWHS Main General Warehouse","0.0.0","ZIM501013873","31-12-2027","6300","EA","9800","0.07300"
"","602716","KDH KCH Dubai Hospital Inventory Organization","MC10162","NITRILE EXAMINATION GLOVES 100'S - LARGE","DHHMainWHS Main General Warehouse","0.0.0","ZIM501013876","31-12-2027","3500","EA","0","0.07300"
"","600292","KDH KCH Dubai Hospital Inventory Organization","MC10163","NITRILE EXAMINATION GLOVES 100'S - XLARGE","DHHMainWHS Main General Warehouse","0.0.0","2A102986NCZA","26-10-2029","2000","EA","3800","0.08246"
"","602725","KDH KCH Dubai Hospital Inventory Organization","MC10199","MEPORE ADHESIVE DRESSING 6 X 7 CM[MOLN[670800[BX/60[","DHHMainWHS Main General Warehouse","0.0.0","24377622","28-08-2027","200","EA","240","0.80000"
"","612336","KDH KCH Dubai Hospital Inventory Organization","MC10199","MEPORE ADHESIVE DRESSING 6 X 7 CM[MOLN[670800[BX/60[","DHHMainWHS Main General Warehouse","0.0.0","24377610","28-08-2027","50","EA","0","0.80000"
"","612337","KDH KCH Dubai Hospital Inventory Organization","MC10200","MEPORE ADHESIVE DRESSING 9 X 10 CM[MOLN[670900[BX/50[","DHHMainWHS Main General Warehouse","0.0.0","24234404","28-05-2027","15","EA","15","0.95000"
"","600304","KDH KCH Dubai Hospital Inventory Organization","MC10210","DISPOSABLE BIOPSY PUNCH 3MM 20'S[KAIM[BP-30F[PC/1[","DHHMainWHS Main General Warehouse","0.0.0","16042025","01-06-2027","20","EA","20","9.50000"
"","597801","KDH KCH Dubai Hospital Inventory Organization","MC10214","DERMAL CURETTE DISPOSABLE 2MM 20'S[KAIM[MK402[PC/1[","DHHMainWHS Main General Warehouse","0.0.0","16012025","01-05-2029","20","EA","20","9.50000"
"","597803","KDH KCH Dubai Hospital Inventory Organization","MC10216","DERMAL CURETTE DISPOSABLE 5MM 20'S[KAIM[MK405[PC/1[","DHHMainWHS Main General Warehouse","0.0.0","220260","01-02-2027","13","EA","13","9.50000"
"","605115","KDH KCH Dubai Hospital Inventory Organization","MC10217","DERMAL CURETTE DISPOSABLE 7MM 20'S[KAIM[MK407[PC/1[","DHHMainWHS Main General Warehouse","0.0.0","KCH-210868","31-08-2026","40","EA","40","9.50000"
"","612339","KDH KCH Dubai Hospital Inventory Organization","MC10219","SURGICAL BLADE W/ HANDLE DISPOSABLE #10 (10'S BOX)[GNRC[NO REF#[PC/1[","DHHMainWHS Main General Warehouse","0.0.0","231215","31-12-2028","50","EA","0","1.40000"
"","607560","KDH KCH Dubai Hospital Inventory Organization","MC10219","SURGICAL BLADE W/ HANDLE DISPOSABLE #10 (10'S BOX)[GNRC[NO REF#[PC/1[","DHHMainWHS Main General Warehouse","0.0.0","KCH231215","31-12-2028","10","EA","60","1.40000"
"","605109","KDH KCH Dubai Hospital Inventory Organization","MC10232","TEGADERM TRANSPARENT FILM DRESSING FRAME STYLE 4.4 X 4.4CM 100'S[3M[1622W[PC/1[","DHHMainWHS Main General Warehouse","0.0.0","33YAYD","15-07-2027","80","EA","80","1.65000"
"","605111","KDH KCH Dubai Hospital Inventory Organization","MC10236","TEGADERM + PAD TRANSPARENT FILM DRESSING W/ ABSORBENT PAD 5X7CM 50'S[3M[3582[PC/1[","DHHMainWHS Main General Warehouse","0.0.0","107905260","18-11-2027","219","EA","261","1.36000"
"","597794","KDH KCH Dubai Hospital Inventory Organization","MC10265","EXTERNAL NASAL BANDAGE[CEUMED[C5500-20[BX/20[","DHHMainWHS Main General Warehouse","0.0.0","20250122","21-01-2030","20","EA","20","5.75000"
"","600286","KDH KCH Dubai Hospital Inventory Organization","MC10314","PIGEON NIPPLE FOR WEAK SUCKING WS-1[PIGEON[01319[EA/1[ ","DHHMainWHS Main General Warehouse","0.0.0","KCH14072023","03-07-2025","7","EA","0","11.20000"
"","607549","KDH KCH Dubai Hospital Inventory Organization","MC10315","PIGEON WN PLUS NIPPLE DIRECT MOUNT TYPE (LOW BIRTH WEIGHT)[PIGEON[01127[EA/1[ ","DHHMainWHS Main General Warehouse","0.0.0","KCH14072023","01-07-2027","33","EA","33","12.60000"
"","600298","KDH KCH Dubai Hospital Inventory Organization","MC10349","ONE-PIECE GUEDEL AIRWAY SIZE 000 PINK[INTR[1000035[BX/25[","DHHMainWHS Main General Warehouse","0.0.0","KCH1000035","31-03-2027","9","EA","10","2.00085"
"","595328","KDH KCH Dubai Hospital Inventory Organization","MC10351","ONE-PIECE GUEDEL AIRWAY SIZE 00 BLUE[INTR[1100050[BX/25[","DHHMainWHS Main General Warehouse","0.0.0","KCH32215726","30-09-2027","20","EA","22","1.90365"
"","602695","KDH KCH Dubai Hospital Inventory Organization","MC10351","ONE-PIECE GUEDEL AIRWAY SIZE 00 BLUE[INTR[1100050[BX/25[","DHHMainWHS Main General Warehouse","0.0.0","KCH32121232","30-11-2026","1","EA","0","1.90365"
"","605077","KDH KCH Dubai Hospital Inventory Organization","MC10353","ONE-PIECE GUEDEL AIRWAY SIZE 0 GREY[INTR[1110055[BX/25[","DHHMainWHS Main General Warehouse","0.0.0","32420457","30-09-2029","18","EA","22","1.99152"
"","595329","KDH KCH Dubai Hospital Inventory Organization","MC10353","ONE-PIECE GUEDEL AIRWAY SIZE 0 GREY[INTR[1110055[BX/25[","DHHMainWHS Main General Warehouse","0.0.0","KCH32055815","31-08-2025","4","EA","0","1.99152"
"","600271","KDH KCH Dubai Hospital Inventory Organization","MC10355","ONE-PIECE GUEDEL AIRWAY SIZE 1 WHITE (20'S BOX)[INTR[1111065[PC/1[","DHHMainWHS Main General Warehouse","0.0.0","KCH32306991","01-04-2028","7","EA","0","1.99987"
"","600270","KDH KCH Dubai Hospital Inventory Organization","MC10355","ONE-PIECE GUEDEL AIRWAY SIZE 1 WHITE (20'S BOX)[INTR[1111065[PC/1[","DHHMainWHS Main General Warehouse","0.0.0","KCH32309283","31-05-2028","4","EA","11","1.99987"
"","612315","KDH KCH Dubai Hospital Inventory Organization","MC10360","ONE-PIECE GUEDEL AIRWAY SIZE 2 GREEN (100'S BOX)[INTR[1112080[PC/1[","DHHMainWHS Main General Warehouse","0.0.0","32400774","31-01-2029","12","EA","12","2.19969"
"","600274","KDH KCH Dubai Hospital Inventory Organization","MC10361","ONE-PIECE GUEDEL AIRWAY SIZE 3 ORANGE (90'S BOX)[INTR[1113090[PC/1[","DHHMainWHS Main General Warehouse","0.0.0","32402123","31-01-2029","13","EA","13","2.19838"
"","595334","KDH KCH Dubai Hospital Inventory Organization","MC10363","ONE-PIECE GUEDEL AIRWAY SIZE 4 RED (90'S BOX)[INTR[1114100[PC/1[","DHHMainWHS Main General Warehouse","0.0.0","KCH32308949","31-05-2028","8","EA","0","2.00000"
"","602700","KDH KCH Dubai Hospital Inventory Organization","MC10363","ONE-PIECE GUEDEL AIRWAY SIZE 4 RED (90'S BOX)[INTR[1114100[PC/1[","DHHMainWHS Main General Warehouse","0.0.0","32310598","31-05-2028","2","EA","10","2.00000"
"","602729","KDH KCH Dubai Hospital Inventory Organization","MC10367","I-GEL SUPRAGLOTTIC AIRWAY SIZE 1-NEONATE[INTR[8201000[BX/10[","DHHMainWHS Main General Warehouse","0.0.0","KCH32400315","31-01-2026","5","EA","4","67.08388"
"","597789","KDH KCH Dubai Hospital Inventory Organization","MC10368","I-GEL SUPRAGLOTTIC AIRWAY SIZE 1.5-INFANT[INTR[8215000[BX/10[","DHHMainWHS Main General Warehouse","0.0.0","32407855","30-04-2026","4","EA","4","67.00196"
"","595367","KDH KCH Dubai Hospital Inventory Organization","MC10369","I-GEL SUPRAGLOTTIC AIRWAY SIZE 2-SMALL PAEDIATRIC[INTR[8202000[BX/10[","DHHMainWHS Main General Warehouse","0.0.0","3240781","30-09-2029","9","EA","14","67.00000"
"","595366","KDH KCH Dubai Hospital Inventory Organization","MC10369","I-GEL SUPRAGLOTTIC AIRWAY SIZE 2-SMALL PAEDIATRIC[INTR[8202000[BX/10[","DHHMainWHS Main General Warehouse","0.0.0","32421349","30-09-2026","5","EA","0","67.00000"
"","605103","KDH KCH Dubai Hospital Inventory Organization","MC10371","I-GEL SUPRAGLOTTIC AIRWAY SIZE 3-SMALL ADULT (25'S BOX)[INTR[8203000[PC/1[","DHHMainWHS Main General Warehouse","0.0.0","32409633","30-04-2027","9","EA","13","67.00000"
"","602727","KDH KCH Dubai Hospital Inventory Organization","MC10371","I-GEL SUPRAGLOTTIC AIRWAY SIZE 3-SMALL ADULT (25'S BOX)[INTR[8203000[PC/1[","DHHMainWHS Main General Warehouse","0.0.0","32400026","31-01-2027","4","EA","0","67.00000"
"","607562","KDH KCH Dubai Hospital Inventory Organization","MC10372","I-GEL SUPRAGLOTTIC AIRWAY SIZE 4-MEDIUM ADULT (25'S BOX)[INTR[8204000[PC/1[","DHHMainWHS Main General Warehouse","0.0.0","3247177","31-12-2027","6","EA","12","67.00000"
"","595369","KDH KCH Dubai Hospital Inventory Organization","MC10372","I-GEL SUPRAGLOTTIC AIRWAY SIZE 4-MEDIUM ADULT (25'S BOX)[INTR[8204000[PC/1[","DHHMainWHS Main General Warehouse","0.0.0","32408028","30-04-2027","6","EA","0","67.00000"
"","609939","KDH KCH Dubai Hospital Inventory Organization","MC10373","I-GEL SUPRAGLOTTIC AIRWAY SIZE 5-LARGE ADULT (25'S BOX)[INTR[8205000[PC/1[","DHHMainWHS Main General Warehouse","0.0.0","32407858","30-04-2027","4","EA","4","67.00005"
"","595333","KDH KCH Dubai Hospital Inventory Organization","MC10378","CLEAR-THERM MINI HMEF W/ LUER PORT[INTR[1831000[CS/40[","DHHMainWHS Main General Warehouse","0.0.0","32390307","31-08-2028","47","EA","47","7.30000"
"","607551","KDH KCH Dubai Hospital Inventory Organization","MC10395","SUCTION CATHETER 6FR[4MED[NO REF#[EA/1[","DHHMainWHS Main General Warehouse","0.0.0","SH2408016","09-09-2029","100","EA","100","0.70000"
"","597772","KDH KCH Dubai Hospital Inventory Organization","MC10396","SUCTION CATHETER 8FR[4MED[NO REF#[EA/1[","DHHMainWHS Main General Warehouse","0.0.0","SH2302019","24-03-2028","66","EA","0","0.70000"
"","602714","KDH KCH Dubai Hospital Inventory Organization","MC10396","SUCTION CATHETER 8FR[4MED[NO REF#[EA/1[","DHHMainWHS Main General Warehouse","0.0.0","0402025","31-05-2028","34","EA","100","0.70000"
"","595349","KDH KCH Dubai Hospital Inventory Organization","MC10397","SUCTION CATHETER 10FR[4MED[NO REF#[EA/1[","DHHMainWHS Main General Warehouse","0.0.0","NOLOT04042025","01-01-3000","298","EA","200","0.70000"
"","595345","KDH KCH Dubai Hospital Inventory Organization","MC10398","SUCTION CATHETER 12FR[4MED[NO REF#[EA/1[","DHHMainWHS Main General Warehouse","0.0.0","30012025","31-05-2029","247","EA","341","0.70000"
"","597768","KDH KCH Dubai Hospital Inventory Organization","MC10399","SUCTION CATHETER 14FR[MTCH[200805[EA/1[","DHHMainWHS Main General Warehouse","0.0.0","SH2302019","24-03-2028","167","EA","160","0.70000"
"","602712","KDH KCH Dubai Hospital Inventory Organization","MC10403","MAPLESON F INFANT T-PIECE BREATHING SYSTEM JACKSON REES 0.5L OPEN TAIL BAG 1.8M (15'S BOX)[INTR[2121000[PC/1[","DHHMainWHS Main General Warehouse","0.0.0","1240248","31-01-2029","13","EA","13","68.00300"
